temperature,humidite_air,humidite_sol,vitesse_vent,label
23.8,38.15,38.56,35.89,0
24.86,68.89,91.54,15.86,0
35.18,30.88,76.19,31.66,0
37.57,11.29,50.51,31.05,0
38.75,78.79,98.84,55.46,4
38.69,66.14,46.53,32.94,0
17.74,78.61,5.82,34.98,1
29.83,13.5,26.23,24.1,1
16.73,85.34,43.61,56.94,4
31.49,65.76,15.69,46.63,4
28.25,60.71,94.76,17.12,0
41.63,66.22,76.68,50.65,4
25.53,87.8,26.83,25.94,1
18.51,62.82,59.08,49.72,4
19.29,62.29,72.14,49.37,4
37.85,99.16,94.13,11.33,0
33.55,78.11,88.16,42.07,4
18.03,49.81,51.52,17.44,0
17.52,73.67,77.47,17.85,0
36.03,45.03,56.21,17.78,0
17.18,30.6,55.27,43.53,4
39.66,63.72,11.47,13.79,2
36.19,93.54,12.61,0.05,3
17.44,93.62,52.95,42.91,4
17.55,40.77,26.89,10.27,1
44.6,57.49,2.1,6.27,2
26.23,29.05,72.28,14.25,0
26.12,99.61,3.25,22.79,1
39.38,98.3,59.53,28.55,3
43.42,68.46,53.92,2.67,0
44.58,82.4,96.88,58.23,4
37.6,74.36,48.42,42.96,4
26.29,63.38,6.36,19.39,1
17.51,14.8,55.17,19.12,0
38.31,50.93,84.11,26.91,0
31.75,70.73,99.68,37.57,0
27.73,70.98,43.03,8.78,2
42.19,43.58,32.03,11.34,1
18.34,94.75,90.67,51.57,4
29.78,25.06,19.12,15.38,1
15.34,55.03,61.54,22.81,0
29.06,72.18,40.57,52.28,4
16.69,72.74,4.11,39.79,1
18.56,68.38,34.73,20.5,1
18.53,34.78,26.52,41.02,1
34.48,24.06,68.61,1.18,0
37.38,67.23,94.88,44.14,4
32.5,63.94,26.8,29.22,1
43.87,26.14,81.15,48.79,4
26.25,73.46,5.54,57.28,4
23.57,50.97,53.81,55.55,4
41.06,70.1,7.06,54.56,2
21.71,85.36,93.4,30.73,0
43.9,25.28,76.64,21.61,0
15.36,11.72,65.79,27.9,0
44.1,80.12,82.39,41.39,3
16.29,64.87,64.75,53.04,4
41.73,72.97,96.89,12.42,0
30.83,85.43,71.4,55.09,4
44.79,82.25,92.47,48.91,4
17.21,96.48,51.71,58.73,4
31.62,58.23,11.71,52.82,4
44.08,53.96,52.82,16.8,0
30.69,46.17,12.69,6.36,1
33.88,23.83,59.25,6.73,0
35.87,61.53,48.25,17.47,0
28.64,34.93,62.26,36.85,0
33.83,92.92,1.0,48.26,4
32.53,62.49,19.48,53.96,4
42.03,63.36,49.13,37.43,0
16.36,41.94,95.05,0.34,0
23.43,14.68,38.36,11.18,0
43.51,12.86,42.44,5.98,0
41.71,48.1,71.47,21.8,0
28.67,17.61,60.38,30.08,0
33.6,64.62,29.89,2.6,1
23.32,89.29,41.08,20.91,0
20.64,89.46,21.77,10.75,1
28.91,69.31,96.6,38.82,0
25.6,29.01,13.06,27.86,1
32.51,87.67,37.18,29.72,3
17.33,89.75,2.58,25.66,1
44.23,27.7,22.18,57.36,2
44.59,76.37,78.05,12.88,3
35.94,35.79,20.12,31.0,1
31.08,82.24,8.01,44.16,2
24.29,99.75,47.45,33.41,0
39.41,12.7,1.0,55.74,2
35.54,90.76,8.48,22.68,3
19.88,66.04,80.76,27.82,0
42.33,97.6,77.15,5.31,3
39.68,51.85,91.51,36.54,0
43.49,86.26,85.45,17.29,3
36.77,15.62,68.32,9.62,0
33.4,40.18,5.23,32.67,1
27.55,16.03,78.28,31.94,0
42.98,97.78,84.55,4.55,3
40.98,83.53,79.91,41.89,3
16.36,86.73,50.85,37.43,0
15.79,94.42,23.29,11.34,1
26.29,17.66,84.53,28.17,0
39.32,44.7,72.72,43.22,4
44.62,16.39,98.08,31.77,0
19.51,28.97,15.57,23.73,1
32.82,30.64,22.57,19.34,1
26.43,52.22,21.18,36.62,1
44.1,34.17,79.25,56.35,4
40.26,19.09,18.69,40.3,2
40.15,25.07,6.67,4.48,3
29.06,23.25,99.86,27.64,0
27.44,97.58,2.48,53.45,2
23.2,78.34,83.52,5.67,3
16.69,97.1,36.54,59.33,4
40.94,49.58,84.16,56.94,4
39.39,35.05,55.46,4.7,0
44.99,81.85,90.16,56.0,4
44.9,39.36,92.62,21.79,0
31.66,36.94,0.91,50.68,4
38.07,30.93,7.54,25.1,2
43.34,21.67,25.04,26.45,2
40.49,33.08,66.93,38.05,0
22.42,41.98,88.83,46.47,4
28.52,70.66,45.99,2.03,0
18.87,15.63,60.7,35.59,0
43.62,28.95,18.85,11.2,2
33.19,82.81,80.5,20.76,3
21.86,23.22,96.73,20.88,0
35.15,40.84,26.86,28.14,1
33.54,87.82,49.48,20.05,3
25.74,23.94,8.61,6.44,1
18.41,17.45,55.91,8.74,0
35.15,53.61,50.28,2.01,0
30.61,37.22,14.44,28.21,1
38.17,60.71,44.21,57.27,4
30.6,82.34,33.41,6.94,3
40.57,22.34,52.18,56.78,4
31.56,62.26,58.57,44.0,4
31.83,55.5,0.85,38.25,1
41.3,22.97,76.1,38.72,0
27.1,66.16,71.3,49.6,4
19.02,34.63,36.63,6.42,0
15.86,53.91,5.29,30.29,1
37.65,17.4,75.49,41.83,0
33.61,51.36,95.52,35.21,0
36.12,37.58,24.02,49.97,4
21.39,84.01,32.35,4.34,1
19.09,15.13,18.38,41.44,1
15.44,47.67,57.69,32.04,0
25.52,51.26,15.48,22.75,1
32.7,75.25,35.62,20.42,3
26.77,61.69,69.7,37.25,0
28.12,70.05,56.01,53.46,4
42.12,79.93,38.65,29.77,3
25.45,87.6,42.02,49.48,4
30.42,38.25,56.21,24.13,0
38.51,58.42,0.59,6.14,2
26.9,85.61,7.85,3.69,1
33.66,99.05,88.13,3.08,3
40.87,90.06,7.79,22.81,2
43.49,43.43,70.68,20.23,0
19.41,27.56,92.0,43.08,3
42.8,54.05,27.07,44.57,2
29.76,76.75,37.05,3.05,3
22.75,54.33,56.89,13.27,0
28.77,53.49,88.17,16.46,0
44.4,85.44,94.19,32.86,3
29.78,42.53,73.96,8.67,0
24.86,87.38,8.66,8.04,1
34.0,46.61,66.92,56.63,4
22.2,39.54,41.03,48.25,4
17.28,50.86,47.07,10.84,0
18.87,78.62,4.91,24.39,1
18.84,21.34,19.11,21.34,1
19.56,27.68,79.05,47.46,4
19.16,95.63,45.4,30.61,0
34.23,25.79,30.17,7.67,1
20.46,61.1,38.4,44.34,4
25.37,62.14,85.44,23.81,0
41.9,54.07,74.9,15.78,0
29.22,68.03,27.23,22.53,0
35.03,30.68,11.75,29.87,1
20.17,59.74,25.2,20.59,1
20.77,43.5,92.08,14.51,0
16.23,69.55,58.16,23.91,0
20.07,22.71,53.35,1.15,0
23.36,61.38,59.64,46.35,4
20.31,26.67,36.6,10.26,0
17.66,35.08,80.71,2.63,0
18.62,29.68,52.33,39.22,0
28.82,26.46,11.67,46.44,4
21.19,84.31,12.91,48.83,4
25.93,35.71,53.69,29.61,0
30.1,93.44,93.66,12.32,3
35.71,97.29,30.84,44.23,4
16.18,61.41,86.95,41.98,0
38.98,22.87,76.41,14.78,2
33.84,43.71,24.78,54.2,4
17.45,81.8,3.63,6.26,1
41.21,43.07,10.18,58.96,2
42.63,17.83,72.85,51.61,4
16.83,60.11,19.97,41.27,1
23.31,86.06,37.13,56.32,4
39.19,81.63,50.17,43.34,4
37.45,25.76,72.55,11.43,0
20.54,70.55,11.32,26.53,1
21.28,29.85,40.64,4.29,0
26.11,29.64,48.51,23.38,0
29.54,88.67,54.08,44.5,4
33.55,32.47,81.84,23.19,0
26.07,33.69,17.17,19.82,1
28.88,10.06,80.78,35.72,0
37.42,88.36,69.29,52.33,4
16.1,81.33,55.59,2.85,0
22.57,66.46,69.95,23.13,0
36.4,77.52,41.2,9.49,3
41.86,23.68,13.84,41.72,0
30.35,51.25,66.58,6.34,0
30.96,41.61,52.47,39.89,0
18.22,18.44,63.94,17.17,0
28.42,53.75,33.8,11.94,1
30.98,92.87,90.69,56.18,4
22.27,13.61,58.74,1.11,0
23.08,36.23,8.54,26.27,1
26.32,28.68,44.98,1.3,0
15.6,31.43,75.64,29.02,0
24.66,91.76,79.41,30.06,0
21.34,52.13,49.46,19.3,0
24.82,51.97,89.47,7.93,0
18.59,78.45,26.77,22.58,1
41.72,23.9,41.06,40.34,0
32.81,53.85,89.86,46.94,4
35.37,48.7,89.63,31.85,0
38.68,63.72,68.57,35.39,0
29.95,99.96,85.9,12.04,3
17.61,79.25,8.88,17.24,1
31.11,45.81,86.5,9.71,0
32.61,84.48,32.06,14.96,3
37.36,25.36,17.83,13.49,1
27.95,12.74,23.94,31.17,1
18.83,28.4,41.8,33.76,0
23.51,40.64,25.12,56.7,4
25.89,55.95,32.06,11.73,2
34.38,65.36,13.5,38.5,1
32.12,91.95,29.62,49.04,4
25.68,55.89,57.23,33.61,0
44.6,55.11,44.19,15.3,0
33.17,14.52,34.67,15.75,1
22.12,13.14,74.65,2.36,0
18.05,59.6,89.35,18.33,0
19.59,49.44,75.68,44.68,4
22.38,85.53,33.2,2.85,1
19.82,24.46,74.44,13.16,0
20.6,12.25,15.2,42.37,4
23.55,50.41,13.03,46.96,4
20.2,31.37,34.56,27.32,1
41.9,14.47,80.77,41.88,0
17.41,75.21,24.63,23.28,1
30.74,20.04,6.33,9.59,1
27.31,64.75,13.17,23.89,1
44.47,35.29,85.87,34.8,0
18.36,25.61,63.38,56.88,4
26.94,44.18,25.32,4.13,1
44.08,82.13,55.53,30.44,3
40.97,45.29,52.76,19.74,0
39.51,77.57,65.54,30.5,3
22.74,21.29,23.32,1.44,1
20.13,79.55,86.44,18.78,0
35.06,31.32,30.94,49.19,4
42.88,70.97,69.41,33.24,0
31.7,60.92,1.61,27.03,1
32.15,93.62,37.27,17.13,3
23.4,44.86,35.17,17.88,0
38.08,15.95,54.35,22.99,0
20.61,11.72,7.27,50.13,4
24.71,84.42,79.01,58.03,4
27.76,57.23,21.78,26.32,1
30.23,79.77,67.7,23.6,3
22.27,31.1,80.32,50.79,4
18.45,41.06,56.19,25.61,0
33.32,12.71,74.09,33.12,0
23.66,96.53,66.19,13.86,0
32.44,70.11,35.55,44.61,4
19.63,93.99,80.89,31.92,0
29.43,33.89,29.47,48.54,4
30.98,65.03,57.12,46.84,4
16.55,71.06,74.54,12.9,0
25.1,38.58,37.9,42.94,4
19.03,86.33,30.28,48.0,4
16.9,95.24,45.93,20.77,0
44.7,89.64,81.8,10.36,3
24.67,76.52,92.99,0.16,0
39.3,34.97,54.51,27.05,0
22.64,35.35,66.15,21.15,0
35.45,96.7,90.33,33.29,3
37.81,10.93,9.85,11.28,1
32.87,74.44,23.21,51.58,4
29.15,73.56,70.89,15.47,0
27.36,66.04,82.37,13.59,0
25.47,99.11,85.7,28.84,0
42.89,38.07,41.51,29.93,0
39.92,40.6,8.93,12.91,2
43.95,17.1,43.78,16.31,0
18.73,49.85,23.07,10.18,1
36.93,33.49,29.12,43.11,4
43.15,40.9,77.23,46.21,4
20.44,85.11,7.55,27.74,1
16.99,94.19,82.76,42.85,4
37.23,26.72,42.77,44.16,4
32.23,43.53,59.61,8.3,0
40.25,93.58,8.97,57.97,2
19.19,15.56,33.74,49.26,4
38.86,18.31,8.97,12.27,2
21.05,24.65,96.15,11.17,0
19.91,63.57,80.73,7.54,0
19.93,23.54,45.96,8.3,0
39.44,97.13,22.36,44.89,2
34.96,50.2,93.35,28.18,0
30.69,55.14,34.46,46.98,4
25.76,32.2,16.1,44.78,4
41.32,52.39,56.32,36.28,0
26.77,69.57,94.38,41.18,0
39.5,77.61,0.38,1.1,2
28.17,77.85,23.81,18.71,3
26.31,62.01,93.84,38.27,0
28.88,91.39,17.11,0.56,3
24.04,83.57,11.32,1.98,1
37.43,78.13,57.02,51.11,4
30.08,15.0,86.18,41.04,0
21.97,10.62,47.71,15.92,0
41.99,29.12,99.46,41.28,0
26.52,69.72,67.92,47.55,4
31.31,47.01,7.41,18.41,1
42.19,46.22,99.28,2.16,0
33.73,89.61,40.79,55.97,4
18.51,90.6,28.74,20.71,0
43.19,91.83,55.79,6.39,3
33.83,38.25,30.43,29.51,1
25.05,72.2,8.65,46.11,4
19.18,34.45,0.14,13.3,1
38.82,27.15,44.96,16.17,0
33.6,26.62,83.69,14.56,0
31.0,40.79,57.23,59.5,4
41.82,48.7,99.92,11.84,0
38.66,84.79,28.68,34.53,2
19.55,20.79,28.05,55.52,4
24.35,76.14,15.97,8.81,1
22.45,57.83,16.41,58.25,4
37.32,35.92,28.52,56.85,4
16.01,54.35,79.28,53.07,4
32.1,36.99,90.58,12.87,0
37.87,63.65,97.51,38.04,0
41.3,49.05,23.23,45.65,2
25.26,24.8,88.13,59.16,4
39.64,20.49,32.83,10.83,1
18.32,59.2,11.28,45.96,4
40.39,91.22,87.0,20.33,3
18.82,40.96,63.61,10.54,0
26.92,75.97,16.47,25.28,1
